47554.34398,477,464
47554.5337,464,478
47554.75162,478,468
47554.94219,468,471
47555.14591,471,452
47555.32789,452,441
47555.51721,441,432
47555.70296,432,426
47555.89072,426,417
47556.07815,417,414
47556.27248,414,414
47556.47031,414,415
47556.66941,415,414
47556.86788,414,424
47557.07657,424,536
47557.38785,536,541
47557.59231,541,460
47557.71207,460,489
47557.94257,489,489
47558.14238,489,565
47558.41965,565,564
47558.61887,564,568
47558.82345,568,452
47558.90759,452,454
47559.11002,454,452
47559.30846,452,454
47559.51058,454,452
47559.70925,452,451
47559.90955,451,452
47560.11044,452,459
47560.31898,459,452
47560.51191,452,480
47560.741,480,478
47560.93956,478,461
47561.12306,461,624
47561.48689,624,464
47561.52821,464,468
47561.73189,468,471
47561.93682,471,475
47562.14114,475,485
47562.35248,485,483
47562.55085,483,490
47562.75907,490,453
47562.92244,453,452
47563.1223,452,509
47563.38022,509,502
47563.57404,502,478
47563.75049,478,471
47563.94438,471,453
47564.12809,453,521
47564.3967,521,452
47564.52904,452,452
47564.72954,452,453
47564.93121,453,452
47565.13051,452,481
47565.36018,481,467
47565.54649,467,548
47565.82749,548,452
47565.93255,452,453
47566.14362,453,453
47566.34449,453,452
47566.54551,452,452
47566.74623,452,464
47566.95921,464,451
47567.14754,451,452
47567.3484,452,457
47567.55491,457,452
47567.75134,452,460
47567.96021,460,452
47568.15196,452,466
47568.3668,466,557
47568.65879,557,561
47568.86322,561,565
47569.068,565,569
47569.27322,569,452
47569.35661,452,452
47569.55753,452,454
47569.75926,454,452
47569.95839,452,452
47570.15917,452,452
47570.35975,452,453
47570.56123,453,452
47570.76178,452,452
47570.96204,452,453
47571.1632,453,455
47571.36653,455,456
47571.5671,456,462
47571.77497,462,465
47571.97748,465,469
47572.18223,469,452
47572.3667,452,456
47572.57097,456,452
47572.76676,452,452
47572.96672,452,452
47573.16832,452,453
47573.37026,453,455
47573.57314,455,459
47573.77797,459,517
47574.03695,517,520
47574.24063,520,452
47574.37361,452,477
47574.59881,477,482
47574.80415,482,528
47575.05101,528,531
47575.25538,531,534
47575.45944,534,542
47575.66881,542,543
47575.86933,543,547
47576.07492,547,550
47576.27912,550,562
47576.49159,562,558
47576.68854,558,564
47576.89482,564,568
47577.09943,568,530
47577.26142,530,452
47577.38403,452,455
47577.58742,455,452
47577.78438,452,451
47577.98495,451,451
47578.18545,451,452
47578.38671,452,487
47578.62229,487,483
47578.81782,483,472
47579.00851,472,453
47579.18944,453,453
47579.39136,453,452
47579.59045,452,452
47579.79102,452,452
47579.99135,452,454
47580.1947,454,452
47580.39296,452,452
47580.59328,452,451
47580.79242,451,451
47580.99263,451,453
47581.19512,453,457
47581.39938,457,460
47581.60417,460,466
47581.8097,466,476
47582.02007,476,474
47582.21874,474,483
47582.42747,483,452
47582.597,452,452
47582.79751,452,451
47582.99725,451,451
47583.19793,451,452
47583.39834,452,451
47583.59899,451,452
47583.79912,452,451
47583.99896,451,451
47584.19956,451,455
47584.40433,455,451
47584.60176,451,451
47584.80134,451,451
47585.00185,451,452
47585.20288,452,480
47585.43161,480,452
47585.60391,452,452
47585.80424,452,452
47586.00438,452,452
47586.20489,452,558
47586.51144,558,526
